show_id,production_company_type_id
34307,6026
34307,11454
34307,18887
34307,8495
102903,11662
113988,15272
115036,8802
115036,4130
1424,603
1424,7937
84773,16505
84773,14655
67178,5022
67178,14495
67178,12966
46296,16635
58841,20368
58841,4279
62127,5022
62127,694
62127,14495
95594,9841
95594,10790
75219,11027
75219,15272
75219,8420
75219,8422
80752,3462
80752,10315
80752,12821
80752,2190
80752,4640
80752,7717
1705,11454
1705,14906
62643,11454
62643,8160
62643,1497
62643,15433
71728,11454
16997,12009
16997,4040
16997,15333
16997,13091
16997,14086
40008,3557
40008,16127
40008,12006
40008,19164
67744,12103
61222,21098
61222,1204
61222,11529
61374,38
61374,12453
61374,17351
1981,13936
1981,21604
1981,13672
1981,17233
38472,21257
38472,14495
38472,5022
63639,7953
63639,6947
63639,5725
63639,6247
1892,6491
1892,13119
1892,6498
4614,18720
4614,13672
4614,265
4614,17233
95057,1497
95057,11454
95057,15433
91239,19228
1639,10577
44006,20368
44006,4279
1407,18887
1407,6658
1407,11462
1407,7301
1407,1887
1407,19991
154521,17818
154521,13591
69740,1862
69740,4540
69740,4321
69740,5338
69740,20200
45871,6969
45871,15983
72844,13672
72844,5909
72844,10190
39272,21284
39272,14495
52814,5909
52814,9312
52814,10384
52814,19010
52814,18887
1438,9616
1438,8495
90239,20445
105,1982
105,13091
1433,11027
1433,1765
1433,19206
1433,9710
1433,21508
96815,12994
96815,21208
1395,11454
1395,20756
1395,1742
1395,17233
35610,19812
89641,7402
89641,190
33880,38
33880,6715
33880,3325
1437,13957
1437,11027
96677,7820
92783,20143
92783,5613
71914,3652
71914,17934
71914,16505
71914,15692
71914,18765
71914,7643
65494,11808
65494,3652
31132,1553
12697,17167
12697,9443
12697,15311
12697,15695
1920,12536
1920,16766
1920,7779
31586,9127
73586,6782
73586,8132
73586,19907
73586,21516
4194,1597
4194,8802
31911,7014
31911,20179
31911,6906
31911,10813
31911,3806
93741,10790
93741,11897
93741,5909
93741,6947
93741,4971
2038,4760
2038,14123
90802,11454
90802,15433
90802,11907
90802,7710
90802,8898
63401,1553
47,14398
71915,21520
71915,3546
71915,8898
71915,16469
71915,3597
71915,16505
76121,20723
76121,17358
76121,7409
76121,11587
77606,11897
12926,14398
1400,16107
1400,18644
90260,14460
110316,12553
110316,9756
68421,3157
68421,9701
61550,14495
61550,5022
61550,4909
10545,10970
10545,13091
45950,16088
1419,5112
1419,20180
1419,14495
47640,7855
62046,15272
62046,11027
30984,38
30984,20179
30984,4324
30984,19266
30984,13469
30984,19634
16420,9459
45782,7409
45782,20179
45782,11455
45782,17142
62126,5022
62126,14495
100883,11791
100883,20368
4556,17453
4556,3324
4556,14495
67198,15801
67198,13672
67198,20306
67198,14906
67198,17233
80743,7003
80743,4225
