vote_count,vote_average,show_id
808,8.498,66330
808,8.285,105971
807,7.9,32726
806,8.468,99071
801,8.041,537
800,7.29,127235
797,7.091,71663
797,8.6,80564
796,7.076,65820
796,7.339,86374
795,8.034,108978
792,7.87,1855
791,8.546,96160
790,8.3,95601
789,7.363,1996
789,7.918,95403
788,8.633,62741
786,8.424,93846
785,8.526,83639
783,7.558,433
781,8.643,42573
781,8.047,78722
780,8.472,6357
780,7.231,36250
778,7.9,46533
777,8.0,61418
776,8.64,100
775,8.585,117376
775,7.961,2391
775,7.465,106651
773,8.533,64196
770,7.729,62852
768,8.6,94664
764,8.133,34899
762,7.771,82104
761,7.348,65294
757,8.583,110070
756,8.318,96713
756,8.251,37863
753,6.899,61888
753,7.747,110642
753,7.9,113036
752,8.01,85801
751,7.646,31295
749,8.207,31109
747,7.534,43020
747,7.5,186
747,7.2,66398
744,7.189,61345
742,8.427,74387
742,8.042,48865
742,7.668,119243
738,8.4,69291
738,8.1,31654
738,8.314,46994
736,7.307,75191
734,7.3,62687
734,7.736,32692
732,7.1,114472
732,8.341,60957
732,8.139,240
728,6.963,12782
728,7.883,82700
727,7.829,25707
727,7.95,65988
722,8.642,68349
721,8.167,61593
720,8.172,71365
719,8.257,56998
719,7.845,4588
719,7.508,54155
718,7.691,60554
717,7.724,49010
717,7.745,2875
717,7.4,61709
715,8.283,110356
715,8.445,100757
715,7.63,4229
714,7.663,3475
711,8.357,93149
711,8.0,80748
710,7.4,2129
708,7.838,80307
708,7.77,87623
707,8.225,124364
703,8.57,88040
703,8.344,90660
702,7.965,1427
702,8.304,84200
701,7.875,1877
700,7.933,73107
700,6.832,53425
699,7.871,2996
699,6.7,62704
699,6.7,62425
698,7.405,73411
698,7.83,1660
697,7.184,61733
696,6.713,1417
694,8.6,75214
694,8.109,1406
693,8.23,81355
692,7.814,2673
691,7.747,70453
691,8.611,3854
687,6.764,32754
687,8.5,68595
685,8.062,88236
685,8.132,3498
684,8.101,76231
681,7.236,132559
680,8.543,28136
679,8.562,79732
678,7.6,39358
675,7.593,314
675,8.282,65320
675,7.539,1423
673,7.879,1447
672,4.965,130392
671,8.2,120911
671,7.851,116135
670,6.996,2328
669,7.1,9687
669,7.89,580
668,8.371,112163
667,7.741,67773
666,7.7,3452
